"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","4.8","","","","1"
"2015","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","4.1","","","","1"
"2016","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","2.9","","","","1"
"2017","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","1.8","","","","1"
"2018","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","2.4","","","","1"
"2019","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","3.3","","","","1"
"2020","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","2.6","","","","1"
"2021","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","1.3","","","","1"
"2022","Belleville, Ontario","2011S0504522","Rate","257","units","0","v733374","3","2.2","","","","1"
"2014","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","3.9","","","","1"
"2015","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","3.0","","","","1"
"2016","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","4.7","","","","1"
"2017","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","7.5","","","","1"
"2018","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","4.5","","","","1"
"2019","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","6.9","","","","1"
"2020","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","10.4","","","","1"
"2021","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","4.9","","","","1"
"2022","Cape Breton, Nova Scotia","2011S0504225","Rate","257","units","0","v733386","5","0.4","","","","1"
"2014","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","5.4","","","","1"
"2015","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","4.2","","","","1"
"2016","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","1.5","","","","1"
"2017","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","0.8","","","","1"
"2018","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","0.1","","","","1"
"2019","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","1.2","","","","1"
"2020","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","2.4","","","","1"
"2021","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","1.3","","","","1"
"2022","Charlottetown, Prince Edward Island","2011S0504105","Rate","257","units","0","v733390","7","0.8","","","","1"
"2014","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","3.5","","","","1"
"2015","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","3.7","","","","1"
"2016","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","2.4","","","","1"
"2017","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","2.6","","","","1"
"2018","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","1.8","","","","1"
"2019","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","2.9","","","","1"
"2020","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","1.1","","","","1"
"2021","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","1.5","","","","1"
"2022","Chatham-Kent, Ontario","2011S0504556","Rate","257","units","0","v733387","6","2.1","","","","1"
"2014","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","3.4","","","","1"
"2015","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","2.8","","","","1"
"2016","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.4","","","","1"
"2017","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.5","","","","1"
"2018","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.7","","","","1"
"2019","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.3","","","","1"
"2020","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.3","","","","1"
"2021","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.3","","","","1"
"2022","Chilliwack, British Columbia","2011S0504930","Rate","257","units","0","v733391","8","1.3","","","","1"
"2014","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","4.5","","","","1"
"2015","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","3.4","","","","1"
"2016","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","4.1","","","","1"
"2017","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","2.8","","","","1"
"2018","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","3.0","","","","1"
"2019","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","3.7","","","","1"
"2020","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","1.9","","","","1"
"2021","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","2.6","","","","1"
"2022","Cornwall, Ontario","2011S0504501","Rate","257","units","0","v733392","9","1.8","","","","1"
"2014","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","4.4","","","","1"
"2015","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","5.0","","","","1"
"2016","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","4.1","","","","1"
"2017","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","3.4","","","","1"
"2018","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","2.3","","","","1"
