"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","1.6","","","","1"
"2020","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","1.2","","","","1"
"2021","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","0.4","","","","1"
"2022","Drummondville, Quebec","2011S0504447","Rate","257","units","0","v733393","11","0.7","","","","1"
"2014","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","5.9","","","","1"
"2015","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","5.5","","","","1"
"2016","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","4.1","","","","1"
"2017","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","1.7","","","","1"
"2018","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","1.7","","","","1"
"2019","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","1.1","","","","1"
"2020","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","2.4","","","","1"
"2021","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","1.7","","","","1"
"2022","Fredericton, New Brunswick","2011S0504320","Rate","257","units","0","v733394","12","2.1","","","","1"
"2014","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","3.3","","","","1"
"2015","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","3.5","","","","1"
"2016","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","3.5","","","","1"
"2017","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","1.7","","","","1"
"2018","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","1.7","","","","1"
"2019","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","1.1","","","","1"
"2020","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","0.3","","","","1"
"2021","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","0.1","","","","1"
"2022","Granby, Quebec","2011S0504450","Rate","257","units","0","v733395","13","0.2","","","","1"
"2014","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","1.2","","","","1"
"2015","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","10.3","","","","1"
"2016","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","19.9","","","","1"
"2017","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","4.9","","","","1"
"2018","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","3.7","","","","1"
"2019","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","5.1","","","","1"
"2020","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","9.7","","","","1"
"2021","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","12.5","","","","1"
"2022","Grande Prairie, Alberta","2011S0504850","Rate","257","units","0","v42135254","37","4.6","","","","1"
"2014","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","3.8","","","","1"
"2015","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","2.2","","","","1"
"2016","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","0.9","","","","1"
"2017","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","1.2","","","","1"
"2018","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","1.3","","","","1"
"2019","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","2.1","","","","1"
"2020","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","1.8","","","","1"
"2021","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","0.8","","","","1"
"2022","Kamloops, British Columbia","2011S0504925","Rate","257","units","0","v733365","15","0.9","","","","1"
"2014","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","1.2","","","","1"
"2015","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","1.2","","","","1"
"2016","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","0.4","","","","1"
"2017","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","0.7","","","","1"
"2018","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","1.5","","","","1"
"2019","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","1.3","","","","1"
"2020","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","0.9","","","","1"
"2021","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","","F","","","1"
"2022","Kawartha Lakes, Ontario","2011S0504530","Rate","257","units","0","v20662169","35","1.9","","","","1"
"2014","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","5.0","","","","1"
"2015","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","6.3","","","","1"
"2016","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","8.8","","","","1"
"2017","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","5.0","","","","1"
"2018","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","4.7","","","","1"
"2019","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","4.8","","","","1"
"2020","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","5.4","","","","1"
"2021","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","2.6","","","","1"
"2022","Lethbridge, Alberta","2011S0504810","Rate","257","units","0","v733368","18","2.1","","","","1"
"2014","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","4.1","","","","1"
"2015","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","4.7","","","","1"
"2016","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","5.2","","","","1"
"2017","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","6.1","","","","1"
"2018","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","5.8","","","","1"
"2019","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","5.0","","","","1"
"2020","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","3.8","","","","1"
"2021","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","2.4","","","","1"
"2022","Medicine Hat, Alberta","2011S0504805","Rate","257","units","0","v733370","20","1.2","","","","1"
"2014","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","4.2","","","","1"
"2015","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","2.0","","","","1"
"2016","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","1.5","","","","1"
"2017","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","1.6","","","","1"
"2018","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","2.4","","","","1"
"2019","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","1.8","","","","1"
"2020","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","0.9","","","","1"
"2021","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","1.5","","","","1"
"2022","Nanaimo, British Columbia","2011S0504938","Rate","257","units","0","v733372","22","2.1","","","","1"
"2014","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","2.8","","","","1"
"2015","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","2.0","","","","1"
"2016","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","2.0","","","","1"
"2017","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","0.7","","","","1"
"2018","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","2.0","","","","1"
"2019","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","0.7","","","","1"
"2020","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","1.6","","","","1"
"2021","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","1.5","","","","1"
"2022","Norfolk, Ontario","2011S0504547","Rate","257","units","0","v20662170","36","2.6","","","","1"
"2014","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","2.5","","","","1"
"2015","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","6.2","","","","1"
"2016","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","3.7","","","","1"
"2017","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","2.6","","","","1"
"2018","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","1.1","","","","1"
"2019","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","2.8","","","","1"
"2020","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","0.8","","","","1"
"2021","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","1.6","","","","1"
"2022","North Bay, Ontario","2011S0504575","Rate","257","units","0","v733373","23","1.3","","","","1"
"2014","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","2.9","","","","1"
"2015","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","4.4","","","","1"
"2016","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","4.1","","","","1"
"2017","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","3.7","","","","1"
"2018","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","3.8","","","","1"
"2019","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","2.8","","","","1"
"2020","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","3.1","","","","1"
"2021","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","2.2","","","","1"
"2022","Prince George, British Columbia","2011S0504970","Rate","257","units","0","v733376","25","4.0","","","","1"
"2014","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","2.2","","","","1"
"2015","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","5.3","","","","1"
"2016","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","13.6","","","","1"
"2017","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","13.1","","","","1"
"2018","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","8.5","","","","1"
"2019","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","10.0","","","","1"
"2020","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","9.0","","","","1"
"2021","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","6.0","","","","1"
"2022","Red Deer, Alberta","2011S0504830","Rate","257","units","0","v733377","26","2.8","","","","1"
"2014","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","5.2","","","","1"
"2015","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","4.9","","","","1"
"2016","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","4.2","","","","1"
"2017","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","4.1","","","","1"
"2018","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","1.5","","","","1"
"2019","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","0.6","","","","1"
"2020","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","0.8","","","","1"
"2021","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","","F","","","1"
"2022","Saint-Hyacinthe, Quebec","2011S0504452","Rate","257","units","0","v733378","27","2.8","","","","1"
"2014","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","3.3","","","","1"
"2015","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","4.1","","","","1"
"2016","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","3.7","","","","1"
"2017","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2018","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2019","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2020","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2021","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2022","Saint-Jean-sur-Richelieu, Quebec","2011S0504459","Rate","257","units","0","v733379","28","","F","","","1"
"2014","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","3.7","","","","1"
"2015","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","4.3","","","","1"
"2016","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","3.7","","","","1"
"2017","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","2.1","","","","1"
"2018","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","3.3","","","","1"
"2019","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","2.7","","","","1"
"2020","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","3.9","","","","1"
"2021","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","2.0","","","","1"
"2022","Sarnia, Ontario","2011S0504562","Rate","257","units","0","v733381","29","1.9","","","","1"
"2014","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","1.7","","","","1"
"2015","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","3.4","","","","1"
"2016","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","2.9","","","","1"
"2017","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","5.7","","","","1"
"2018","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","6.2","","","","1"
"2019","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","5.3","","","","1"
"2020","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","4.6","","","","1"
"2021","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","1.9","","","","1"
"2022","Sault Ste. Marie, Ontario","2011S0504590","Rate","257","units","0","v733382","30","2.0","","","","1"
"2014","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","9.1","","","","1"
"2015","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","11.8","","","","1"
"2016","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","11.1","","","","1"
"2017","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","8.5","","","","1"
"2018","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","6.7","","","","1"
"2019","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","5.1","","","","1"
"2020","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","5.8","","","","1"
"2021","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","2.6","","","","1"
"2022","Shawinigan, Quebec","2011S0504444","Rate","257","units","0","v733383","31","1.0","","","","1"
"2014","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","3.6","","","","1"
"2015","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","1.8","","","","1"
"2016","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","1.9","","","","1"
"2017","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","1.5","","","","1"
"2018","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","1.4","","","","1"
"2019","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","1.8","","","","1"
"2020","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","0.9","","","","1"
"2021","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","0.8","","","","1"
"2022","Vernon, British Columbia","2011S0504918","Rate","257","units","0","v733389","32","0.5","","","","1"
"2014","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","11.9","","","","1"
"2015","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","29.4","","","","1"
"2016","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","17.8","","","","1"
"2017","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","23.6","","","","1"
"2018","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","22.4","","","","1"
"2019","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","22.4","","","","1"
"2020","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","13.6","","","","1"
"2021","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","20.3","","","","1"
"2022","Wood Buffalo, Alberta","2011S0504860","Rate","257","units","0","v53843489","38","13.2","","","","1"


