"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","35437435","","","","0"
"2015","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","35702908","","","","0"
"2016","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","36109487","","","","0"
"2017","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","36545236","","","","0"
"2018","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37065084","","","","0"
"2019","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37601230","","","","0"
"2020","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38007166","","","","0"
"2021","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38226498","","","","0"
"2022","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38929902","","","","0"
"2014","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","29425513","","","","0"
"2015","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","29680350","","","","0"
"2016","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30059970","","","","0"
"2017","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30482348","","","","0"
"2018","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30979059","","","","0"
"2019","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31490790","","","","0"
"2020","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31868844","","","","0"
