"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","106637","","","","0"
"2018","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","105789","","","","0"
"2019","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","105083","","","","0"
"2020","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","104412","","","","0"
"2021","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","104267","","","","0"
"2022","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2016S05001030","Both sexes","All ages","Persons","249","units","0","v1061305771","4.1.1","104881","","","","0"
"2014","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","109825","","","","0"
"2015","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","109609","","","","0"
"2016","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","109560","","","","0"
"2017","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","108845","","","","0"
"2018","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","107953","","","","0"
"2019","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","107010","","","","0"
"2020","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","106192","","","","0"
"2021","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","105751","","","","0"
"2022","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","2016S05001040","Both sexes","All ages","Persons","249","units","0","v1061306101","5.1.1","106050","","","","0"
"2014","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","144283","","","","0"
"2015","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","144546","","","","0"
"2016","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","146969","","","","0"
"2017","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","150402","","","","0"
"2018","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","153396","","","","0"
"2019","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v1061306431","6.1.1","157419","","","","0"
